Pathway_categories,Number,Type
Regulation of cdc42 protein signal transduction,3,biological_process
Protein o-linked glycosylation,12,biological_process
Peroxidase activity,11,molecular_function
Glycosaminoglycan catabolic process,12,biological_process
Positive regulation of focal adhesion assembly,10,biological_process
Neural crest cell differentiation,3,biological_process
Positive regulation of t-helper 2 cell cytokine production,1,biological_process
Regulation of cellular protein metabolic process,1,biological_process
Positive regulation of telomerase rna localization to cajal body,4,biological_process
Generation of precursor metabolites and energy,19,molecular_function
Nucleotide-excision repair,16,biological_process
Positive regulation of transcription of nucleolar large rrna by rna polymerase i,3,biological_process
Positive regulation of collagen biosynthetic process,11,biological_process
Nsl complex,2,cellular_component
Double-stranded methylated dna binding,1,molecular_function
Positive regulation of tau-protein kinase activity,2,biological_process
Anaphase-promoting complex binding,3,molecular_function
Schwann cell differentiation,2,biological_process
Regulation of branching involved in prostate gland morphogenesis,3,biological_process
Actin cortical patch,2,cellular_component
Positive regulation of calcineurin-nfat signaling cascade,2,biological_process
Positive regulation of smad protein signal transduction,5,biological_process
Positive regulation of vascular permeability,3,biological_process
Progesterone metabolic process,2,biological_process
Spermatid differentiation,1,biological_process
Negative regulation of phosphatase activity,5,biological_process
Negative regulation of protein localization to nucleus,3,biological_process
Node of ranvier,5,cellular_component
Rna polymerase ii,7,cellular_component
Positive regulation of corticotropin secretion,1,biological_process
Positive regulation of bone mineralization,10,biological_process
Snap receptor activity,13,molecular_function
Uterus development,4,biological_process
Tpr domain binding,1,molecular_function
U7 snrnp,1,cellular_component
Hippo signaling,3,biological_process
Substrate-dependent cell migration,1,biological_process
Negative regulation of proteasomal ubiquitin-dependent protein catabolic process,7,biological_process
Renal system process,2,biological_process
Female pronucleus,3,cellular_component
Regulation of membrane permeability,2,biological_process
Planar cell polarity pathway involved in axon guidance,3,biological_process
Protection from non-homologous end joining at telomere,5,biological_process
Osteoclast development,4,biological_process
Prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis,3,biological_process
Positive regulation of dendritic cell differentiation,5,biological_process
Single-stranded rna binding,4,molecular_function
Centriole replication,4,biological_process
Positive regulation of smooth muscle cell migration,2,biological_process
Internal protein amino acid acetylation,2,molecular_function
Regulation of cell motility,4,biological_process
Photoreceptor outer segment membrane,4,cellular_component
Set1c/compass complex,7,cellular_component
Positive regulation of cgmp-mediated signaling,2,biological_process
Camp-dependent protein kinase inhibitor activity,3,molecular_function
Positive regulation of synaptic transmission,7,biological_process
Neuron fate determination,1,biological_process
Sprouting angiogenesis,10,biological_process
Calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,7,biological_process
Maintenance of gastrointestinal epithelium,6,biological_process
5-phosphoribose 1-diphosphate biosynthetic process,4,biological_process
Response to temperature stimulus,2,biological_process
Relaxation of cardiac muscle,4,biological_process
Peptidyl-proline hydroxylation,4,biological_process
Metanephric mesenchyme development,3,biological_process
Peptidyl-proline hydroxylation,4,molecular_function
Spermatogenesis,2,biological_process
Synaptic growth at neuromuscular junction,0,biological_process
Toxin transport,7,biological_process
Organic anion transport,8,biological_process
Organic anion transport,8,molecular_function
Chondroitin sulfate catabolic process,3,biological_process
Atp metabolic process,6,biological_process
Calcium-mediated signaling using intracellular calcium source,5,biological_process
Integral component of postsynaptic density membrane,12,cellular_component
Maintenance of epithelial cell apical/basal polarity,2,biological_process
Negative regulation of mitochondrial membrane potential,4,biological_process
Glycine transport,3,biological_process
Positive regulation of phosphorylation of rna polymerase ii c-terminal domain,2,biological_process
Regulation of synapse assembly,2,biological_process
Lipase binding,5,molecular_function
L-ascorbic acid binding,8,molecular_function
Isocitrate metabolic process,4,biological_process
Demethylase activity,3,molecular_function
Phosphatidylglycerol acyl-chain remodeling,6,biological_process
Positive regulation of blood pressure,8,biological_process
B cell apoptotic process,2,biological_process
Positive regulation of gluconeogenesis by positive regulation of transcription from rna polymerase ii promoter,1,biological_process
Organic cation transmembrane transporter activity,2,molecular_function
Telomere maintenance via recombination,5,biological_process
Rna polymerase ii activity,2,molecular_function
Regulation of respiratory gaseous exchange by neurological system process,3,biological_process
Negative regulation of creb transcription factor activity,2,biological_process
Single-stranded telomeric dna binding,2,biological_process
Single-stranded telomeric dna binding,2,molecular_function
Positive regulation of brown fat cell differentiation,1,biological_process
Positive regulation of rrna processing,6,biological_process
Rhodopsin mediated signaling pathway,2,biological_process
Execution phase of apoptosis,6,biological_process
Clustering of voltage-gated sodium channels,1,biological_process
Protein-lysine n-methyltransferase activity,8,molecular_function
Peripheral nervous system neuron development,2,biological_process
Homeostatic process,4,biological_process
Choline catabolic process,2,biological_process
Intestinal absorption,3,biological_process
Peptide metabolic process,4,biological_process
Prepulse inhibition,6,biological_process
Fanconi anaemia nuclear complex,1,cellular_component
Natural killer cell mediated cytotoxicity,3,biological_process
Positive regulation of ion transport,3,biological_process
Inositol-1,3,molecular_function
Membrane depolarization during av node cell action potential,1,molecular_function
Negative regulation of retrograde protein transport,3,molecular_function
Chemokine binding,8,molecular_function
Neuronal action potential,7,biological_process
Negative regulation of notch signaling pathway,8,biological_process
Dendrite morphogenesis,9,biological_process
Positive regulation of cytokine secretion involved in immune response,1,biological_process
Natural killer cell differentiation,4,biological_process
Positive regulation of protein kinase c activity,1,biological_process
Thyroid hormone transmembrane transporter activity,2,molecular_function
Serotonin-gated cation-selective channel activity,3,molecular_function
Negative regulation of collagen biosynthetic process,3,biological_process
Positive regulation of glycogen (starch) synthase activity,1,biological_process
Regulation of dna replication,3,biological_process
Regulation of protein kinase activity,4,biological_process
